sentence	sentence_id	locale	reason
שבא נע Schwa Na`, dt.	0021ec4c7f442ac7b9da1138bae24ae6c3249a072eba50cde65995cf8a1e27cd	de	grammar-or-spelling
שבא נע Schwa Na`, dt.	0021ec4c7f442ac7b9da1138bae24ae6c3249a072eba50cde65995cf8a1e27cd	de	Schriftzeichen nicht vorhanden in der deutschen Sprache Rest ist Kauderwelsch
שבא נע Schwa Na`, dt.	0021ec4c7f442ac7b9da1138bae24ae6c3249a072eba50cde65995cf8a1e27cd	de	different-language
שבא נע Schwa Na`, dt.	0021ec4c7f442ac7b9da1138bae24ae6c3249a072eba50cde65995cf8a1e27cd	de	difficult-pronounce
Die ersten Entwürfe zur Sinfonie op.	00cc600814f39237fb3a5c276aae19f486317748f1060a8fb597f2bdccb7691f	de	grammar-or-spelling
Die ersten Entwürfe zur Sinfonie op.	00cc600814f39237fb3a5c276aae19f486317748f1060a8fb597f2bdccb7691f	de	Op am Satzende ergibt keinen Sinn
Veröffentlichungen in letzter Zeit vermuten, dass Herring Jr.	00b5473fd84b89edef006ad11bd505842be54dc10a492ca878de163347e06129	de	grammar-or-spelling
Veröffentlichungen in letzter Zeit vermuten, dass Herring Jr.	00b5473fd84b89edef006ad11bd505842be54dc10a492ca878de163347e06129	de	Letzte Teil des Satzes fehlt
שבא נע Schwa Na`, dt.	0021ec4c7f442ac7b9da1138bae24ae6c3249a072eba50cde65995cf8a1e27cd	de	grammar-or-spelling
שבא נע Schwa Na`, dt.	0021ec4c7f442ac7b9da1138bae24ae6c3249a072eba50cde65995cf8a1e27cd	de	Cannot read/ nonsense
Die eine Kammer könne die andere blockieren.	00c5007af790d425d1eb4ce0da2559ecb080732133121ed9075caa6eed4c52b4	de	es ist schwer einfach etwas laut vorzu lesen
Noch heute wohnen seine Nachkommen hier.	00bda2c3b348feda7d41e11f7111982efb6bf790f8c875ce9a69963fb82ec0fd	de	es geht besser
Bis dahin war sie als Glied der Kreisverwaltung unselbständig.	00c5801cd0f8af10e933a98fbce190e2f40d9d52fa79eb54292e80da0904fa61	de	offensive-language
Ein Attentäter aus Litauen wurde festgenommen und wegen einer fehlenden Aufenthaltserlaubnis abgeschoben.	008e25deb7e582a06d8005bffcead805d1fe6a4f32844661d62e2bcd25db283c	de	einfache Sätze.
Kinosäle und -einrichtungen wurden regelmäßig durch die Baupolizei kontrolliert.	00da4f14e2044e5216fe3901b7c2bf39cd18cf4e845d9f1918b5fb6f40f51aaf	de	grammar-or-spelling
Die Nahrung der Tiere ist unbekannt.	00d9dbcbc1268b0e3fdcd774f33fa0de18c8225d1f3bccc690bd6bce7cf635c3	de	einfach
Wahlperiode ist er stellvertretender Vorsitzender der Sejm-Kommission für Landwirtschaft.	00d4dcb11efc1c52b1d43a264de587d8a3fe60de0dc0c0d5f4bc8f6331f0c49d	de	grammar-or-spelling
Priority Health ist eine der größten Krankenversicherung in den Vereinigten Staaten.	0104a4bf38e10aca02e7d3e31edead724a2376ddd7345b06e5fe816ae3c2b480	de	grammar-or-spelling
Verfahren, erfolgt keine Eintragung.	010805496f3b87bb868874be3d349929a3d6029e180c6e57d90b08c1162f6679	de	Beginning of sentence is missing / makes no sense 
Später kaufte Mrs.	010e68940139b928ae85202d607737b575ff1529ad9413537d3ddb18104773fe	de	Sentence uncomplete
Konzentrationen hat man solche bzgl.	011b7dbc5be8e74f32e43970ac9fa8ab1fc82133bb9cada3a15ae1e043c888f8	de	Sentence uncomplete last part missing
Zwei Klassen wurden eingerichtet, eine für zahlende Schüler und eine für Arme und Waise.	0111ccc3c89d6224c801a5bce600448bc7064f2751b57ca033932fec6ed9ae1b	de	grammar-or-spelling
Die Straße in Eisenach, die zum ehemaligen Sitz des ev.	01630c094312d0250b6cc5eab6d921c25483fcf92a6842c9a28e7bfc1d13326a	de	Last part of shown sentence is missing
Rang" entspricht.	0177283d4406fa29ef86f07cdb6b06396be2fe6b860554f10ba56bb215606eec	de	First part of shown sentence is missing
Schon vor Bekanntwerden dieses Ergebnisses hatte das Weiße Haus Gen.	015871d26e4b7442f09cabc20ce546e04aa40a72cf5890fec2f30c9948d43c39	de	Last part missing of displayed sentence
Armee“ eingeteilt.	01becda05c78877bc588de2262d25b83cf3683306e76f2ecf0f1cc0b1c9e6555	de	grammar-or-spelling
Armee“ eingeteilt.	01becda05c78877bc588de2262d25b83cf3683306e76f2ecf0f1cc0b1c9e6555	de	Remove " , or the first part of shown sentence is missing
Gesang der Geister“.	01bb49ca0967c7507a217f127e0a8b60bcedb07d996a6c731364be01be29e25e	de	grammar-or-spelling
Gesang der Geister“.	01bb49ca0967c7507a217f127e0a8b60bcedb07d996a6c731364be01be29e25e	de	Remove " , or the beginning of shown sentence is missing
Die Hauptsiedlung liegt auf einer kleinen Lichtung im dich bewaldeten Bergland von Guayana.	019bb311762b9b7190d1fa1656f87eefcefe5c1e8549f55aff766a6dfa4952d9	de	grammar-or-spelling
Rang" entspricht.	0177283d4406fa29ef86f07cdb6b06396be2fe6b860554f10ba56bb215606eec	de	grammar-or-spelling
Rang" entspricht.	0177283d4406fa29ef86f07cdb6b06396be2fe6b860554f10ba56bb215606eec	de	grammar-or-spelling
Rang" entspricht.	0177283d4406fa29ef86f07cdb6b06396be2fe6b860554f10ba56bb215606eec	de	Remove " or first part of displayed sentence is missing
Rang" entspricht.	0177283d4406fa29ef86f07cdb6b06396be2fe6b860554f10ba56bb215606eec	de	Remove " or first part is missing of the shown sentence
Seine Frau "Margarethe geb.	01a7196b792339cbb7b3638bb905dc4d4a65eb1ee61464efa4b8a39d8701bd56	de	Last part of shown sentence is missing
Dimension" als Michael Harlan.	01c3f7f341c04260dfc3d337311c3a64edda2e6e8fe7d423aa192f6ab1dfc96b	de	First part of shown sentence missing
Sechs Menschen wurde getötet und ein großer Teil der Stadt war beschädigt.	01b4aabe30cd82a2d8a586873e5efed3e15765cad10469d9fe4079a9db0fb9f8	de	grammar-or-spelling
Sechs Menschen wurde getötet und ein großer Teil der Stadt war beschädigt.	01b4aabe30cd82a2d8a586873e5efed3e15765cad10469d9fe4079a9db0fb9f8	de	wurden 
Heute verwenden die meisten Salar eine Version der Chinesische Schrift.	01d9677168b5bef708d5a47ae94eccc32267e536d8e23db5ed2811925fee40d3	de	grammar-or-spelling
Heute verwenden die meisten Salar eine Version der Chinesische Schrift.	01d9677168b5bef708d5a47ae94eccc32267e536d8e23db5ed2811925fee40d3	de	chinesischen
Dimension" als Michael Harlan.	01c3f7f341c04260dfc3d337311c3a64edda2e6e8fe7d423aa192f6ab1dfc96b	de	First part missing of sentence
Sinclair et al.	01ca15826e34a421189213271394b39187310dd3d0be51ac0fefd1b408aec99e	de	different-language
Das Deckengemälde malte der Dresdener Kunstmaler Johann Benjamin Müller.	01c2fd6f231de5b86fb133b16ecbca00b256ec3c2b6135ca677e8a7a1480b9ae	de	grammar-or-spelling
Die Familie lebt und wird an einem geheimen Ort versteckt.	01e80d1ca6eb34cf7e23b7668dc6ebc5d68e86a39f6ddc0ec41a7ce3dc9a0c13	de	Its ok
Über die Lebensweise der Tiere liegen nur sehr wenige Informationen vor.	01d1495d36afabf8252c4bcabe17b45a9ced03dde5f58781957ea9ca8c315505	de	grammar-or-spelling
Er leitet auch die Band "Hip Pocket", in der er Trompete spielt.	01ed46825d5cf16cc7535f7624f29b6d7a22314b7234f768aaf032c3b1621703	de	Bitte nicht nachfragen, Ich stelle meine Stimme nicht zur Verfügung!!!!
Anna und Æthelwald waren seine Brüder.	0202770256a344ce61147fea1207174facf552dbae1bb41152ce03c6548a9be1	de	grammar-or-spelling
Anna und Æthelwald waren seine Brüder.	0202770256a344ce61147fea1207174facf552dbae1bb41152ce03c6548a9be1	de	makes no sense / anna cannot be a brother!
Heute verwenden die meisten Salar eine Version der Chinesische Schrift.	01d9677168b5bef708d5a47ae94eccc32267e536d8e23db5ed2811925fee40d3	de	grammar-or-spelling
Heute verwenden die meisten Salar eine Version der Chinesische Schrift.	01d9677168b5bef708d5a47ae94eccc32267e536d8e23db5ed2811925fee40d3	de	chinesischen
Vindelicia München".	01e0e6af090913e0554be3df629f253ba44a8c7ecc22f3b49bffe36fa3ca5d24	de	First part missing
Allerdings weicht die Handlung des Films erheblich von der der Erzählung Grafs ab.	021fd40e01fda82fc06c8e65f9f103736b54f649559c20d78291d0970716233d	de	grammar-or-spelling
Allerdings weicht die Handlung des Films erheblich von der der Erzählung Grafs ab.	021fd40e01fda82fc06c8e65f9f103736b54f649559c20d78291d0970716233d	de	Ein der zuviel
Militärakademie für Ingenieure der Luftstreitkräfte „Prof.	0225a76326de669c06b2481192a9bf5822b927591126e63023dd6f693820ca91	de	Last part is missing
Der Sud muss etwa drei Minuten ziehen, bis sich der Geschmack entfaltet.	01dae83f3da944e9632fc92028bd8cca2cf01863cbf3cef43162b42931de6df2	de	grammar-or-spelling
Der Sud muss etwa drei Minuten ziehen, bis sich der Geschmack entfaltet.	01dae83f3da944e9632fc92028bd8cca2cf01863cbf3cef43162b42931de6df2	de	muß
Er bewunderte die Kunst von Spare und auch dessen magischen Ansätze und Techniken.	022f90c9415521b45c097a4009e0742ffa590020e0bf640f98e2b7b698c86efc	de	grammar-or-spelling
Er bewunderte die Kunst von Spare und auch dessen magischen Ansätze und Techniken.	022f90c9415521b45c097a4009e0742ffa590020e0bf640f98e2b7b698c86efc	de	magische
Mit dem Aufstieg der Häuptlinge aus dem Hause tom Brok verlor Wiegboldsbur an Bedeutung.	024d598f5e435a057a81c1dfd49cabfe28973b304cd7d4995b76842ac01e5fe3	de	grammar-or-spelling
Mit dem Aufstieg der Häuptlinge aus dem Hause tom Brok verlor Wiegboldsbur an Bedeutung.	024d598f5e435a057a81c1dfd49cabfe28973b304cd7d4995b76842ac01e5fe3	de	Tom
Die örtliche katholische Gemeinde "Hl.	021358258783c0196b47c9bdf767a4b1fe0450e3a638b664e27920497bd8ae13	de	last part missing
Jahren besuchte er bereits die theologischen Vorlesungen an der Universität Halle.	022b5e9fc1d8917a04f07f75f148c4360dd0d8a54ae90d9f154bfd9dcce39865	de	grammar-or-spelling
Jahren besuchte er bereits die theologischen Vorlesungen an der Universität Halle.	022b5e9fc1d8917a04f07f75f148c4360dd0d8a54ae90d9f154bfd9dcce39865	de	First part of shown sentence is missing
Man wollte nicht, dass durch die Sprechblasen die Bilder verdeckt werden.	02509f01c819978a28feefcf2dbe9482a4ee81a310c21de66cdd9442f89619d8	de	grammar-or-spelling
Man wollte nicht, dass durch die Sprechblasen die Bilder verdeckt werden.	02509f01c819978a28feefcf2dbe9482a4ee81a310c21de66cdd9442f89619d8	de	daß
Die örtliche katholische Gemeinde "Hl.	021358258783c0196b47c9bdf767a4b1fe0450e3a638b664e27920497bd8ae13	de	grammar-or-spelling
Die örtliche katholische Gemeinde "Hl.	021358258783c0196b47c9bdf767a4b1fe0450e3a638b664e27920497bd8ae13	de	Last part missing
Vindelicia München".	01e0e6af090913e0554be3df629f253ba44a8c7ecc22f3b49bffe36fa3ca5d24	de	grammar-or-spelling
Vindelicia München".	01e0e6af090913e0554be3df629f253ba44a8c7ecc22f3b49bffe36fa3ca5d24	de	First sentence part missing
Die Folge ist, dass sich der Acetaldehyd anreichert.	02484902b38997128958260b70b1b923ed867a2e208902d689a56c0f24b9dacd	de	grammar-or-spelling
Die Folge ist, dass sich der Acetaldehyd anreichert.	02484902b38997128958260b70b1b923ed867a2e208902d689a56c0f24b9dacd	de	daß
Vieles deutet jedoch darauf hin, dass seine Gesundheit seit dieser Zeit geschwächt war.	02490114d64cfbe81901b1511485da66417e852e9c2bb129ab89f6032871f919	de	grammar-or-spelling
Vieles deutet jedoch darauf hin, dass seine Gesundheit seit dieser Zeit geschwächt war.	02490114d64cfbe81901b1511485da66417e852e9c2bb129ab89f6032871f919	de	daß
Die Heilung verlief schlecht und er unterzog sich schließlich in London einer Hüftprothese-Operation.	0255c2ba5131b6189e0cc65fb394c62e3f4e5e04eb5922c4968a863db555602f	de	grammar-or-spelling
Die Heilung verlief schlecht und er unterzog sich schließlich in London einer Hüftprothese-Operation.	0255c2ba5131b6189e0cc65fb394c62e3f4e5e04eb5922c4968a863db555602f	de	Hüftprothesen
Geburtstages wurde er postum in die International Jewish Sports Hall of Fame aufgenommen.	0250d560a211599b901f7c37d2fceb78c220c1bf0a2ac291aa2a5c5d0ee65829	de	grammar-or-spelling
Geburtstages wurde er postum in die International Jewish Sports Hall of Fame aufgenommen.	0250d560a211599b901f7c37d2fceb78c220c1bf0a2ac291aa2a5c5d0ee65829	de	First part missing of shoen sentence
Staatsrecht, seine Assistentenzeit fortsetzte.	02340d66f1bb86c567916b493e37bd7858201a83e0561618a97f6c8302f42d28	de	First part missing
Bundesweit einmalig war die institutionelle Verknüpfung der Ev.	02228554cb60b6ea5ed3b3d9cc800ee9bebd8237d3a3274af86cf3374092093a	de	Last part missing
Vindelicia München".	01e0e6af090913e0554be3df629f253ba44a8c7ecc22f3b49bffe36fa3ca5d24	de	grammar-or-spelling
Vindelicia München".	01e0e6af090913e0554be3df629f253ba44a8c7ecc22f3b49bffe36fa3ca5d24	de	First sentence part missing
Grades des aktuellen Geschäftsführers.	0253cdecebf9baf37b0d4ffc8f4336bfe3b268475433c4e61e6d608de665a1b3	de	First part of sentence missing
Militärakademie für Ingenieure der Luftstreitkräfte „Prof.	0225a76326de669c06b2481192a9bf5822b927591126e63023dd6f693820ca91	de	grammar-or-spelling
Militärakademie für Ingenieure der Luftstreitkräfte „Prof.	0225a76326de669c06b2481192a9bf5822b927591126e63023dd6f693820ca91	de	Last part missing
Das Dukedom fiel an dessen Onkel sechsten Grades existiert bis heute.	025d7411bdc2c1e37a4028f6a750633e136ca7d2f3c6ebedbd67b76ecc96b021	de	grammar-or-spelling
Ignatius von Loyola, des Gründers des Jesuitenordens, das rechte Feld die Statue des hl.	023a56923a7e81f6eb166b952b3ef0f2ef3f03f689e713e2bc2c89e6b4f0db4a	de	grammar-or-spelling
Frankfurt tätig.	0267ec8011073ebbd2055cb44e6e99950aa99024cbfca6da7e8763cfa92ad21a	de	grammar-or-spelling
Frankfurt tätig.	0267ec8011073ebbd2055cb44e6e99950aa99024cbfca6da7e8763cfa92ad21a	de	First part missing of sentence
Korps am Feldzug gegen Serbien teil.	026d3b9110a00fe2592ef07bc3ce239d8d6ec5ced14bf9f615debf72f01d1cfc	de	grammar-or-spelling
Korps am Feldzug gegen Serbien teil.	026d3b9110a00fe2592ef07bc3ce239d8d6ec5ced14bf9f615debf72f01d1cfc	de	First part missing
Korps am Feldzug gegen Serbien teil.	026d3b9110a00fe2592ef07bc3ce239d8d6ec5ced14bf9f615debf72f01d1cfc	de	grammar-or-spelling
Korps am Feldzug gegen Serbien teil.	026d3b9110a00fe2592ef07bc3ce239d8d6ec5ced14bf9f615debf72f01d1cfc	de	First part missing
Stelle von den Verantwortlichen der Ottawa Senators ausgewählt.	02519105317d23b985a87d783c5d48c5902e88940b0fa7b8ff6a4ccee7985f3a	de	grammar-or-spelling
Kongress, sich nicht noch einmal als Kandidat aufstellen zu lassen.	0270eac18e387f9565f4f75b728a9bfba2521d63252327a18551c86eb7a2eb78	de	grammar-or-spelling
Kongress, sich nicht noch einmal als Kandidat aufstellen zu lassen.	0270eac18e387f9565f4f75b728a9bfba2521d63252327a18551c86eb7a2eb78	de	First part missing
Zusammen mit Hasle wird eine Sekundarschule betreiben.	0274acd13b04bf3df5e26a1c78fe84ea6bf4c6ab4ffcb0c398a7c8d9789f1928	de	grammar-or-spelling
Zusammen mit Hasle wird eine Sekundarschule betreiben.	0274acd13b04bf3df5e26a1c78fe84ea6bf4c6ab4ffcb0c398a7c8d9789f1928	de	betrieben
Zusammen mit Hasle wird eine Sekundarschule betreiben.	0274acd13b04bf3df5e26a1c78fe84ea6bf4c6ab4ffcb0c398a7c8d9789f1928	de	grammar-or-spelling
Zusammen mit Hasle wird eine Sekundarschule betreiben.	0274acd13b04bf3df5e26a1c78fe84ea6bf4c6ab4ffcb0c398a7c8d9789f1928	de	betrieben
Georg Egestorff, Linden vor Hannover".	026e305fb03c303fb94017e0498d11fdeb1526c04bfd8ecec258561f32b1ad30	de	grammar-or-spelling
Georg Egestorff, Linden vor Hannover".	026e305fb03c303fb94017e0498d11fdeb1526c04bfd8ecec258561f32b1ad30	de	First part missing
Die Nachbarn sind Amares, Vieira do Minho, Fafe, Guimarães und Braga.	027eddd14b7da31c758dfa59d5e236b0355b27ce2498f6af3f8c76c2452018b8	de	different-language
Die Nachbarn sind Amares, Vieira do Minho, Fafe, Guimarães und Braga.	027eddd14b7da31c758dfa59d5e236b0355b27ce2498f6af3f8c76c2452018b8	de	difficult-pronounce
Landtag des Saarlandes nach.	026f0f46756bcd77a5c83a9bb2f41bd2c07cc3942fe07dbf79a00b7f2c640483	de	grammar-or-spelling
Landtag des Saarlandes nach.	026f0f46756bcd77a5c83a9bb2f41bd2c07cc3942fe07dbf79a00b7f2c640483	de	First part missing
Armee "Pflanzer-Baltin" Verteidigungsaufgaben in der Bukowina übernommen.	025b12fb8ecd59b457edb3f8a47123cc4a39e7147c0c59403226195e869048c4	de	grammar-or-spelling
Armee "Pflanzer-Baltin" Verteidigungsaufgaben in der Bukowina übernommen.	025b12fb8ecd59b457edb3f8a47123cc4a39e7147c0c59403226195e869048c4	de	First part missing
Eine Vielzahl namhafter Profigolfer werden von Callaway ausgestattet.	026f916f8412dd542c5ea632a286c48073b18eed02ae5855b684011cc1650c1d	de	grammar-or-spelling
Eine Vielzahl namhafter Profigolfer werden von Callaway ausgestattet.	026f916f8412dd542c5ea632a286c48073b18eed02ae5855b684011cc1650c1d	de	namenhafter
Fußball-Bundesliga Nord an.	027d302421e80da436da772acfde542fb0efc3f79612004997aa135167f78cfe	de	grammar-or-spelling
Fußball-Bundesliga Nord an.	027d302421e80da436da772acfde542fb0efc3f79612004997aa135167f78cfe	de	First part missing
In der Nähe der Piper Alpha verliefen Gasleitungen mit mehreren Metern Durchmesser.	026a696b975d65f65385f8e7790236feb68e4de1862b5aea86d9c20e96b7b284	de	grammar-or-spelling
In der Nähe der Piper Alpha verliefen Gasleitungen mit mehreren Metern Durchmesser.	026a696b975d65f65385f8e7790236feb68e4de1862b5aea86d9c20e96b7b284	de	Pipe
Die Nachbarn sind Amares, Vieira do Minho, Fafe, Guimarães und Braga.	027eddd14b7da31c758dfa59d5e236b0355b27ce2498f6af3f8c76c2452018b8	de	different-language
Auch wird der Frühschoppen nicht in Radio Wien ausgestrahlt.	0292b0f910ad4fc25e5a73c37d4cc0306eb7b45b1c679125934af45f9c7950fe	de	grammar-or-spelling
Mal, dass die Weltmeisterschaft im Grand-Prix-Modus ausgetragen wurde.	02a34314b39122c61e095f1afcdb0c6fc3445ad3c493d773f5e4fd3cc8d4f48d	de	grammar-or-spelling
Mal, dass die Weltmeisterschaft im Grand-Prix-Modus ausgetragen wurde.	02a34314b39122c61e095f1afcdb0c6fc3445ad3c493d773f5e4fd3cc8d4f48d	de	1st part missing
In Deutschland wurde er vor allem durch seine Rolle als Detective Lt.	0294ad679dd053eea6891cfc764fd9a3a90890dfcdf9cc227cf6426fa460c2a9	de	grammar-or-spelling
In Deutschland wurde er vor allem durch seine Rolle als Detective Lt.	0294ad679dd053eea6891cfc764fd9a3a90890dfcdf9cc227cf6426fa460c2a9	de	Last part missing
Street am westlichen Central Park ein und enthält wiederum Stilelemente der Neugotik.	02ad541c3c2559832af71654f9b8e0cdfdeff272d1d8e9d600771aab88c01962	de	1st part missing
London-Wien über.	0260100864817e3660a58eb8531571a8bfd35bfabef02a5a68889546de1ef123	de	grammar-or-spelling
Die örtliche katholische Gemeinde "Hl.	021358258783c0196b47c9bdf767a4b1fe0450e3a638b664e27920497bd8ae13	de	Sentence incomplete
In Deutschland wurde er vor allem durch seine Rolle als Detective Lt.	0294ad679dd053eea6891cfc764fd9a3a90890dfcdf9cc227cf6426fa460c2a9	de	Sentence incomplete
Für die schulischer Weiterbildung sorgt das am Ort ansässige Lyon College.	029404bc33e3c15e1ec3596e3968ef6c2025c4f628ddd0f7d47f01a0c27ee549	de	grammar-or-spelling
Für die schulischer Weiterbildung sorgt das am Ort ansässige Lyon College.	029404bc33e3c15e1ec3596e3968ef6c2025c4f628ddd0f7d47f01a0c27ee549	de	schulische
London-Wien über.	0260100864817e3660a58eb8531571a8bfd35bfabef02a5a68889546de1ef123	de	grammar-or-spelling
London-Wien über.	0260100864817e3660a58eb8531571a8bfd35bfabef02a5a68889546de1ef123	de	Incomplete
Sie ist Hauptstadt des Bezirks Cəlilabad.	029e78ce49a47ecc6c5329a76fa0d5744b028c6b59701d0f0782c5492db2d125	de	different-language
Johann Georg Grasel oder den "Schinderhannes".	02b424a8cfc569471a49c28b4400d46d3f38c29a17a2185798808553a5cd842f	de	grammar-or-spelling
Johann Georg Grasel oder den "Schinderhannes".	02b424a8cfc569471a49c28b4400d46d3f38c29a17a2185798808553a5cd842f	de	der
Umbilicus, gr.	027edeebc17c5f3d55f6151b6aeabbaaf7c46c6a784f4a273d8177ff5e33e05a	de	grammar-or-spelling
Umbilicus, gr.	027edeebc17c5f3d55f6151b6aeabbaaf7c46c6a784f4a273d8177ff5e33e05a	de	Incomplete
August an die französische Krone.	02ba83d7f8a61a134141c261fa595fedb901f0cdf9c84eedcd36eccd49609a23	de	Incomplete
Die Rechte an den von Eon Productions Ltd.	026d4db048de1fe3aa869edcd5379cb6c486eadf4549d036d7feb2a1d56e9be9	de	Incomplete
Umbilicus, gr.	027edeebc17c5f3d55f6151b6aeabbaaf7c46c6a784f4a273d8177ff5e33e05a	de	Incomplete
Platz der Inseln Japans und ist die zweitgrößte der Inlandsee.	02c0b4c6d03291dfc2482f0e0ea1b3d7fef10deb6e47a770c27e9e1cd7c099ab	de	1st part missing
Es sind zwei Kreise mit vier oder fünf gleich lange Staubblättern vorhanden.	028b12a4382c6000f44d466afb21ceb7b65fa2c263e3063a7e0f5ada908bc950	de	grammar-or-spelling
Es sind zwei Kreise mit vier oder fünf gleich lange Staubblättern vorhanden.	028b12a4382c6000f44d466afb21ceb7b65fa2c263e3063a7e0f5ada908bc950	de	langen
Karmapa geschrieben wurde.	027b8237b2384dc6793e352a70a113dcc9c4f3e313c3bd2c99fdd9de6addecfd	de	1st part missing
Elisabeth von Thüringen, zum Landgrafen auf der Mader Heide bei Gudensberg ausbrach.	02cd315d6f6f88787c9d7638b9a6afddb28684efc2215de5b69cd3b9627b169b	de	grammar-or-spelling
Elisabeth von Thüringen, zum Landgrafen auf der Mader Heide bei Gudensberg ausbrach.	02cd315d6f6f88787c9d7638b9a6afddb28684efc2215de5b69cd3b9627b169b	de	incomplete
Zwischen Geraldton und Carnarvon verläuft der Highway durch einsame und trockene Halbwüsten.	02ca112ec0262e1858630a3aa36f210ce6e5e545eee30b7922625f754c859607	de	grammar-or-spelling
Zwischen Geraldton und Carnarvon verläuft der Highway durch einsame und trockene Halbwüsten.	02ca112ec0262e1858630a3aa36f210ce6e5e545eee30b7922625f754c859607	de	Halbwüste
Baron Curzon geschaffen.	02d0e07bb000f283ffe317f6224ecee2d87076ba80f92c50ef33e5def89016d2	de	Incomplete
Diese schwenkbaren Konstruktionen wurden nach ihrem russischen Erfinder als "Drzewiecki-Abwurfkragen" bezeichnet.	02aa218307de8087a02b54356b9f3c0a08ab4f57df69852394a1c6f8f32e2dee	de	difficult-pronounce
Kunst und Kultur der sächsisch-polnischen Union" präsentiert.	02dcf98e4fafd7e995266fe4807ec59130d8dda35c28010c98226a0db3ca2816	de	grammar-or-spelling
Schwimmweltmeisterschaften, wurde die Wettkampfstätte komplett modernisiert.	02b19c17cff2422d21e132d20e461633e2560e377ea5f52c80a50d5fa5365877	de	grammar-or-spelling
Schwimmweltmeisterschaften, wurde die Wettkampfstätte komplett modernisiert.	02b19c17cff2422d21e132d20e461633e2560e377ea5f52c80a50d5fa5365877	de	1st part missing
Shōgakukan-Manga-Preis in der Kategorie Shōnen ausgezeichnet.	02872147bc3e15d520c409846155f80107b69b64f69034bfa6d53324bc61c71b	de	Incomplete
Sie wurde Angehörigen des Osmanischen Reiches und auch Angehörigen seiner Verbündeten verliehen.	02d4b5f07069a7c8c5d8176e512a5d96b8e1c2a0031cd17af288e7079779b0e2	de	grammar-or-spelling
Sie wurde Angehörigen des Osmanischen Reiches und auch Angehörigen seiner Verbündeten verliehen.	02d4b5f07069a7c8c5d8176e512a5d96b8e1c2a0031cd17af288e7079779b0e2	de	wurde Angehörige
Minute in Front.	02d23d68636493659c0745990418104e0de7f584385552a17adb14f85c1b870f	de	Incomplete
Walther Schulte vom Brühls literarisches Werk umfasst Romane, Erzählungen, Kinderbücher, Gedichte, Versepen und Theaterstücke.	02dfce98357b9da78862c86b05278e9fc1f231091a9ba44cea19d2b40f9f132a	de	grammar-or-spelling
Walther Schulte vom Brühls literarisches Werk umfasst Romane, Erzählungen, Kinderbücher, Gedichte, Versepen und Theaterstücke.	02dfce98357b9da78862c86b05278e9fc1f231091a9ba44cea19d2b40f9f132a	de	von
Diese Ausstellung, "Erice.	02eb1409936b6ad98773edd970938c2ec4da137f898840d858922010d2db0326	de	incomplete
Die Gravur der Elisabeth-Glocke hingegen ist mit "„Zu Ehren der hl.	02cb1df34663effb8ef65f71bf3473e944d84f4d4451a02b18726e01b7fff70c	de	Incomplete
Er begann an der Universität „St.	02dee2ce6a65eca01bf012e392b3742440b3bb78705ce9c52e5fabfd2ed81455	de	incomplete
Im deutschen Sprachgebrauch wird dagegen lediglich das Unter-der-Hand-Handeln, die geheimen Absprachen, und ggf.	02e33f9f5b89087475a02d3ba5a9f0614925e13ea7eeeb877acd8ac82eda883f	de	Incomplete
